自治体名,協議,変更届出,事前届出,完了届出,着手届出,撤去届出,中止休止届出
つくば市,0,1,1,1,1,1,0
ときがわ町,1,1,1,1,1,1,1
ニセコ町,1,1,1,1,1,1,0
七ヶ宿町,1,1,1,1,1,1,1
上田市,1,1,1,1,1,1,0
下妻市,1,1,1,1,1,1,1
中津川市,1,1,1,1,1,1,1
五條市,1,1,1,0,1,0,0
五霞町,1,1,1,1,1,1,0
佐伯市,1,1,1,1,1,1,0
入間市,1,1,1,1,1,1,0
八千代町,1,1,1,1,1,1,0
八幡浜市,1,0,1,1,1,1,0
利根町,1,0,1,1,1,1,0
加美町,1,1,1,0,0,1,1
千葉県長柄町,0,1,1,1,0,1,1
南三陸町,1,0,1,1,1,1,0
南木曽町,1,1,1,1,1,1,1
南知多町,1,1,1,1,1,1,1
原村,1,1,1,1,1,1,1
可児市,1,1,1,1,0,1,0
吉見町,1,1,1,1,1,1,0
坂東市,1,1,1,1,1,1,1
大宜味村,1,1,1,1,1,0,1
大崎市,1,1,1,0,1,1,0
大津町,1,1,1,1,1,1,1
大洲市,1,1,1,1,1,1,1
大町町,1,1,1,1,1,1,0
大空町,1,1,1,1,1,1,1
大網白里市,1,1,1,0,1,1,0
天理市,1,1,1,1,1,0,0
天草市,1,1,1,1,1,1,1
嬉野市,1,1,1,1,1,1,1
宇佐市,1,1,1,1,1,1,0
寄居町,1,1,1,1,1,1,1
富谷市,1,1,1,1,1,1,1
小川町,1,1,1,1,1,1,1
山元町,1,1,1,1,1,1,1
山形村,1,0,1,1,1,1,0
岩国市,1,1,1,1,1,1,0
岬町,1,1,1,1,1,1,1
嵐山町,1,1,1,1,1,1,1
川島町,1,1,1,1,1,1,1
市川町,1,1,1,1,1,1,0
志摩市,1,1,1,1,1,0,1
日出町,0,1,1,1,1,1,0
日立市,1,1,1,1,1,1,1
月形町,1,1,1,1,1,1,1
朝日村,1,1,1,1,1,1,0
村田町,1,1,1,0,1,1,1
東広島市,1,1,1,1,1,1,0
東村,1,1,1,1,1,0,1
東栄町,1,0,0,1,1,0,0
東海村,1,1,1,1,1,1,1
栗原市,1,0,1,1,1,1,0
標津町,1,1,1,1,1,1,1
武雄市,1,1,1,1,1,1,0
浜中町,0,1,1,1,1,1,1
滑川町,1,1,1,1,1,1,1
瀬戸市,1,1,1,1,1,1,1
熊取町,1,1,1,1,1,1,1
熊谷市,1,1,1,1,1,1,1
牛久市,1,1,1,1,1,1,0
瑞浪市,1,1,0,1,1,1,1
田川市,1,0,1,1,1,1,0
田村市,1,1,1,1,1,0,0
由布市,1,1,1,1,1,0,1
益子町,1,1,0,1,1,1,1
真岡市,1,1,1,1,1,1,1
石巻市,1,1,1,1,1,1,1
笠間市,1,1,1,1,1,1,0
結城市,1,1,1,1,1,1,0
美浜町,1,1,1,0,1,0,0
美祢市,0,1,1,1,0,0,1
色麻町,1,1,1,0,0,1,1
茨城町,1,1,1,1,1,1,1
茨城県守谷市,1,1,1,1,1,1,1
諏訪市,1,1,1,1,1,1,0
豊橋市,1,1,1,1,1,1,1
赤磐市,1,1,1,1,1,1,1
赤穂市,1,1,1,1,1,0,1
那珂市,1,1,1,1,1,1,1
那須塩原市,1,0,1,1,1,1,0
野木町,1,1,1,1,1,1,0
鉾田市,1,1,1,1,1,1,1
長沼町,1,1,1,1,1,1,1
長野県筑北村,1,1,1,1,1,1,1
雫石町,1,1,0,0,0,0,1
高槻市,1,1,1,1,1,0,0
鳥羽市,1,0,0,1,1,0,0
鳩山町,1,1,1,1,1,1,1
鶴居村,0,1,1,1,1,1,1
龍ケ崎市,1,1,1,1,1,1,0
