自治体,ケース数,規制タイプ,区域類型,禁止区域比率,プロセス重視度,住民参加(正規化),手続き(正規化)
えりも町,143,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,15.4,30.1
かすみがうら市,123,届出制優位,区域設定なし,0.0,手続き重視型,4.9,30.9
かつらぎ町,98,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,10.2,38.8
さくら市,162,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,11.7,23.5
つくば市,177,届出制優位,2層構造(抑制+禁止),0.5,住民参加・手続き重視型,23.2,38.4
ときがわ町,144,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,16.0,50.0
みどり市,227,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,10.1,25.1
みなかみ町,127,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,14.2,47.2
みやこ町,88,届出制優位,区域設定なし,0.0,手続き重視型,9.1,50.0
ニセコ町,113,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,10.6,45.1
阿智村,117,許可制優位,2層構造(抑制+禁止),0.2,住民参加・手続き重視型,17.1,49.6
愛南町,89,許可制優位,区域設定なし,0.0,手続き重視型,3.4,32.6
愛媛県上島町,72,許可制優位,区域設定なし,0.0,住民参加・手続き重視型,18.1,43.1
綾町,124,許可制優位,2層構造(抑制+禁止),0.3,住民参加・手続き重視型,10.5,29.8
安中市,76,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,22.4,39.5
安曇野市,158,許可制優位,2層構造(抑制+禁止),0.3,住民参加・手続き重視型,20.3,28.5
安平町,97,届出制優位,禁止地区制,1.0,住民参加・手続き重視型,17.5,32.0
伊達市,129,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,16.3,41.1
伊東市,117,許可制優位,抑制地区制,0.0,手続き重視型,7.7,16.2
伊豆の国市,57,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,12.3,45.6
伊豆市,127,許可制優位,抑制地区制,0.0,手続き重視型,3.9,26.8
伊那市,74,許可制優位,禁止地区制,0.2,住民参加・手続き重視型,27.0,35.1
伊方町,89,許可制優位,禁止地区制,0.4,住民参加・手続き重視型,18.0,40.4
伊万里市,60,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,16.7,41.7
茨城県守谷市,65,届出制優位,区域設定あり(少数),0.0,住民参加・手続き重視型,10.8,61.5
茨城県常陸太田市,92,届出制優位,2層構造(抑制+禁止),0.1,手続き重視型,7.6,52.2
茨城町,66,届出制優位,抑制地区制,0.0,住民参加・手続き重視型,18.2,54.5
宇佐市,79,届出制優位,抑制地区制,0.0,手続き重視型,2.5,48.1
宇治市,66,許可制優位,禁止地区制,0.8,住民参加・手続き重視型,22.7,53.0
宇陀市,109,届出制優位,区域設定なし,0.0,住民参加・手続き重視型,11.9,56.0
宇都宮市,214,許可制優位,抑制地区制,0.0,住民参加・手続き重視型,12.1,36.0
